comment,rating
"I started having paranoia and hallucinations recently so my psychiatrist added 5mg pill of Abilify. I have experienced drooling, face drooping, excessive crying and impulses to cry while speaking. Iâ??m electing to go off of this medication to try something different. It did help me seem more focused but the side effects arenâ??t worth it!  I HATE Abilify!",1.6666666666666667
I started by taking 10 mg once a day. Within 4 days I noticed a remarkable difference in my depression. For the first time I felt like going out and felt full of energy. Since I started taking anti depressants over 30 years ago this medication has made the biggest difference in my life. I started taking in without any promises and was amazed with the results. I would recommend it to someone suffering from depression where their anti depressant alone does not have a complete change in their state of mind. ,5.0
Terrible made me clench my teeth and rock back & forth. Two yrs later I still do it. Terrible side effects for me. not recommended by me.,2.0
I was put on abilify for depression along with Lexapro.  At first there was no side affects.  Then after about 2 years I gained about 90 pounds.  Also my right hand began to shake.  But the worst thing was not being able to control my bowel movements.  The thing is I did not realize it was the abilify causing these problems.  The way I figured out the cause was I ran out of abilify and was off it for about a week.  I started regaining control of my bowels (this is one thing they don't list as a side affect).  That had to be the most embarrassing period of my life.  Since I quit taking the drug I lost 80 pounds and my hand stopped shaking.  But best of all I have control of my bowels.  They say the drug has different affects on people but it's not the drug for me.  To those that it helped I say hurrah but I've read more negative comments than positive.,1.6666666666666667
"I have suffered with chronic depression for most of my life. I have tried almost every antidepressant out there with varying degrees of success. I currently take 90 mgs of Cymbalta every day. While it is somewhat effective for me I still suffered greatly from nagging depression. It wasn't until my psychiatrist added Abilify that I experienced almost complete relief of my depression. Within two weeks I was feeling better than I have in many years. The feelings of sadness are gone and I wake up feeling ready to face the day. It has helped me tremendously. For me, this drug has worked miracles I never thought possible. ",5.0
This medication (as an add on to Citalopram) makes me want to get up early every day and be productive.  I feel happier than I ever thought possible with the addition of this med (having dealt with minor chronic depression for most of my adult life).,5.0
"I used to be extremely impatient, irritable and had frequent anger bursts.
After I started Abilify 5mg together with Bupropion 300mg I radically changed. Now I am extremely patient, but I miss my old self as a go-getter. Anyway my family is thankful I am under treatment so I can manage my life more wisely.",5.0
adding this to my treatment helped me greatly.,5.0
Stay tired all the time. Drool. ,2.0
"When I took the medication, after a few months, I turned bright red like a pickled beet and I had a heart rate of about 200.  Overall, it almost killed me.",1.0
Lifesaver for me.,4.333333333333333
It is effective but I have gained weight with it and want to get off of it.,4.0
"I took this medication (2.5 mg) for month and half. During this period, I developed muscle spasms in my left neck. This causes my upper right back muscles to spasm. It has been 2.5 years since I stopped this medication and my spasms still haven't subsided. I tried cogentin, clonazepam but still didn't resolve the spasms. I consulted a PCP, psychiatrist and neurologist and say there is no medical problem. I'm losing hope by the day and just wanna quit life.  
If anyone experienced similar symptoms and got better please email me [email protected] Thank you",1.0
just started taking this.how long does it take to notice changes and does it really work?,3.0
"Worked well, quelled my racing thoughts, settled me down, and improved my depression.  Bi-Polar II disorder, have been on 200 mg of Lamotrigine for 5 years and Abilify was prescribed to help improve depression, enable me to try and improve only 4 hours of sleep at night, here comes the major part - BUT...

Developed a compulsive gambling disorder!  This med has ruined me financially!  Then saw tv ads specifically stating compulsive disorders (specifically sexual and gambling) and have also talked with an attorney. 

Google ""Abilify and gambling"" and you'll find that Australia, Canada and England all have class action law suits in different stages.

Canada and Australia have made the drug two manufacturing companies comply with ""listing on their labels and med info sheets that taking this med may lead to specifically a ""gambling"" addiction!

Started at 2mg initial dosage, after about 3 months, went to 7.5mg, then at about 9 months went to 10mg.  The increase made it impossible for me to control the compulsion I had to gamble!

In process of documenting and will go to the 5 different casinos where I became a member and get my records of my losses, easily $1,000 a week.

Wiped out 4 years of social security savings, total is over $60,000 in 1 1/2 years while on this med.

Stopped taking the Abilify 3 months ago and now my uncontrolable gambling ""compulsion"" is gone.  Was never addicted and rarely went to a casino prior to taking this medication!
",2.0
Tried Every other medication and Nothing worked. Finally found Abilify and I am feeling great after 3 weeks. Very good medication. I take 10 mg a day once a day. Saved my Life!!!,5.0
"Initially, the ablify helped me dramatically. I have chronic major depression and Abilify was an addi med with an antidepressant. However after about one month, it lost its effectiveness. I have also gained 20  lbs. ",2.3333333333333335
"I realized how much Abilify has been helping me when I recently tried to taper off of it. I am on the bipolar spectrum, with mainly depression and some OCD symptoms. My obsessive, intrusive thoughts came racing back when I decreased the medication. I also got much more tired and had insomnia with the decrease. am not happy with side effects of 15 lb weight gain, increased cholesterol and a flat effect on my emotions. I am actually wondering if an increase from the 7 mg would help even more...for now I'm living with the side effects.",4.0
It's worked Very well for me. I'm sleeping I'm eating I'm going Out in the public. Overall I'm very satisfied.However I haven't heard anybody mention this but my feet are very puffy and swollen is this a side effect does anyone know?,4.333333333333333
"I was recently hospitalized with an eye opening experience with Major Depression Disorder. I was scripted 100mgs of Zoloft, and in addition I was given the start dose of 2mgs of Abilify to ""help speed relief along"". Every person is different, however the Abilify has been extremely beneficial for me. My situations have not necessarily changed, but I am coping well, and feel heads and tails better than I have in decades, both as a medicated person with major depression, and an non medicated person struggling with depression. I am grateful for Abilify.  ",5.0
"side effects of bloating, constipation,dizziness and fatigue, weight gain were awful. I looked and felt as though I were 7 mos pregnant. My abdomen was tight and painful. Frequent falls. Already fatigued, this worsened.",1.0
"Helped me mentally... Destroyed me physically. I developed ""an irreversible muscle spasm"" in my eyes. Which used to be a side effect of this medication that they no longer mention. ?? Also, gained 80  pounds. Back to the depression due to weight gain and an inability to functionally see. ",1.0
"Although it worked to augment my antidepressant, it causes significant weight gain.  I could not control my eating, especially carbs.  My blood sugar and HA1C rose. If I didn't stop, I'd be a diabetic in no time.",2.3333333333333335
gfghfh,4.333333333333333
Started at the smallest dose a few days ago and started noticing the difference. My fear of leaving the house and going to work eased up in a few days. I sweat a lot and can't sleep but hope these go away soon. Totally worth it compared to the life I have had for the past 7 years!,5.0
"At first it worked great! Energy, sex drive and getting up early. Been on it going on 2 months along with Cymbalta. I am back to being tired, need to move when I'm sitting down and losing interest in my hobbies! Worst of all? Brain zaps? Anyone having these? They started with Cymbalta and got worse with Abilify!",4.333333333333333
"Before Abilify I spent most of my time sleeping or wanting to sleep. Foggy all day most days. I originally took 5mg with Cymbalta, but was too hyper and would wake up way too early. Am now taking 2 mg and the fog is still lifted and can sleep better, not hyper either.  However, there is a side effect I haven't seen anyone mention.  I have lost my interest in reading. As a big lover of reading I find this to be most disconcerting, also have gained almost 20 lbs. ",4.333333333333333
"Just started taking this medication, in the smallest dose possible in addition the meds I already take for my ADD. Currently I am experiencing some confusion because my period is (technically) 2 days late according to my birth control package. Just wondering if anyone could assist me and tell me if that has to do with the changing of my medication. It wouldn't of affected my last period cause I just started the meds afterwards.",3.6666666666666665
very good,4.0
"When I took it, it immediately picked me up. I went in completely depressed and distraught on Thursday and could hardly get out of bed to go. I was missing so much work. The pyschiatrist gave me Abilify and told me to take Friday (the next day) off but return to work on Monday. I thought he was nuts. There is no way I can go back to work on Monday. Monday comes -- I can wake up no problem and go back to work (although ashamed for missing so much work the previous week).",5.0
"I have been taking Abilify for 3 yrs. and conjunction with Cymbalta. Worked great; however I gained 60lbs. Went off Cymbalta a month ago and went off the Abilify 3days ago. I have dull headaches that I contribute to going off Abilify. Can someone tell me how long it takes to leave your system and how long before I start to lose the weight gain. I walk 3.5lbs on treadmill 5X a week.
",3.6666666666666665
severe lower jaw tremor,2.0
Cheap generics now available ,4.0
"Memory Loss - I am taking this medication in addition to my Wellbutrin, because my Wellbutrin wasn't working as effectively as it has in the past. But, I had to taper off due to memory loss.  I'm only 35 years old, have no history of dementia in both sides of my family - yet, when I was on it, there would be entire conversations that I would forget I had.  Then, when the person was telling me, ""I told you this, already. Remember? You said something like..."" then would quote me and I would think, ""wow. that sounds like something I would say!"" 

This happened repeatingly, so I am getting of the medication!!! ",1.6666666666666667
taken in conjunction with lemictal and selexor it has helped wonders,5.0
I've noticed no difference in my mood and it's ungodly expensive even if my insurance covers it. ... No wonder the girl in the commercial is so happy. She must sell this sh*t! I also take 80mgs of Prozac.,2.0
"Have been on Abilify fore quite sometime now. My PAP ran out so I've had to stop taking it waiting on the arrival of my new script. Didn't think it was doing anything til then. I'm a believer now. It really works for me. Was on lithium til I became ill and my kidneys almost stopped working. Lithium is filtered by the kidneys. So, the doc took me off it. Then here comes Abilify. The only drawback is the blood sugar. I'm boarder line diabetic. ",5.0
